"TSG11-R02. Population in Riga neighbourhoods by main age group; on 1 March 2011"

"Neighbourhood";"Total";"15-24";"25-49"
"Sarkandaugava";18095;2029;6559
"Ziepniekkalns";33614;4378;12423
"Vecmilgravis";22667;2564;8085
"Daugavgriva";9015;1172;3258
"Kundzinsala";399;38;147
"Ciekurkalns";7794;1020;2922
"Bisumuiza";2354;292;872
"Tornakalns";6947;978;2721
"Agenskalns";26841;3431;9692
"Dzirciems";12079;1447;4384
"Mangalsala";1348;168;464
"Vecpilseta";1919;221;865
"Centrs";30728;4128;11968
"Pleskodale";5276;692;2017
"Sampeteris";5172;640;1925
"Mukupurvs";203;21;70
"Beberbeki";442;49;159
"Ilguciems";24020;2871;8396
"Bolderaja";12995;1552;4589
"Bulli";247;28;79
"Trisciems";976;129;331
"Jaunciems";2475;328;857
"Mezaparks";4201;509;1558
"Purvciems";59273;6876;21299
"Plavnieki";44750;5205;16073
"Darzciems";20968;2607;8255
"Kengarags";50366;5858;17487
"Skirotava";2497;402;1033
"Mezciems";15268;1556;5363
"Dreilini";5602;751;2114
"Maskavas forstate";27155;3254;10009
"Zolitude";18648;2181;6673
"Kipsala";778;197;273
"Bukulti";599;70;219
"Rumbula";1066;106;408
"Darzini";2316;241;836
"Bierini";7966;1111;2885
"Imanta";46640;4998;16465
"Spilve";83;23;28
"Voleri";293;40;99
"Vecaki";1382;153;474
"Jugla";25094;2854;8760
"Teika";28883;3438;10068
"Suzi";479;65;175
"Kleisti";217;27;77
"Milgravis";3754;470;1310
"Skanste";798;84;342
"Petersala-Andrejsala";5178;614;1957
"Brasa";13218;1658;5184
"Grizinkalns";12816;1617;4781
"Avoti";18561;2513;7298
"Bergi";2898;322;895
"Breksi";1631;175;559
"Zasulauks";6919;805;2357
"Katlakalns";141;15;50
"Atgazene";1247;160;488
"Vecdaugava";1265;165;444
"Salas";84;13;27
